cell-image-link href,image,name
https://www.levi.com/US/en_US/clothing/men/jeans/relaxed/levis-skateboarding-baggy-5-pocket-mens-jeans/p/A23160005,"https://lsco.scene7.com/is/image/lsco/A23160005-detail1-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",LEVI'S® SKATEBOARDING™ BAGGY 5 POCKET MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/jeans/loose/levis-skateboarding-super-baggy-mens-jeans/p/A42980008,"https://lsco.scene7.com/is/image/lsco/A42980008-detail1-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",LEVI'S® SKATEBOARDING SUPER BAGGY MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/jeans/straight/levis-skateboarding-501-original-fit-mens-jeans/p/596920039,"https://lsco.scene7.com/is/image/lsco/596920039-detail1-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",LEVI'S® SKATEBOARDING 501® ORIGINAL FIT MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/jeans/taper/512-slim-taper-fit-mens-jeans/p/288331248,"https://lsco.scene7.com/is/image/lsco/288331248-side-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",512™ SLIM TAPER FIT MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/jeans/relaxed/559-relaxed-straight-fit-mens-jeans-big-tall/p/015592765,"https://lsco.scene7.com/is/image/lsco/015592765-side-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",559™ RELAXED STRAIGHT FIT MEN'S JEANS (BIG & TALL)
https://www.levi.com/US/en_US/big-tall/jeans/511-slim-fit-mens-jeans-big-tall/p/A36530000,"https://lsco.scene7.com/is/image/lsco/A36530000-side-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",511™ SLIM FIT MEN'S JEANS (BIG & TALL)
https://www.levi.com/US/en_US/levis-vintage-clothing/levis-vintage-clothing-for-men/1955-501-original-fit-mens-jeans/p/501550080,"https://lsco.scene7.com/is/image/lsco/501550080-detail1-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",1955 501® ORIGINAL FIT MEN'S JEANS
https://www.levi.com/US/en_US/levis-vintage-clothing/levis-vintage-clothing-for-men/1944-501-original-fit-mens-jeans/p/445010088,"https://lsco.scene7.com/is/image/lsco/445010088-side-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",1944 501® ORIGINAL FIT MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/jeans/straight/505-regular-fit-corduroy-mens-jeans/p/005053002,"https://lsco.scene7.com/is/image/lsco/005053002-side-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",505™ REGULAR FIT CORDUROY MEN'S JEANS
https://www.levi.com/US/en_US/levis-vintage-clothing/levis-vintage-clothing-for-men/levis-vintage-clothing-mens-1910s-lot-333-jeans/p/000P60000,"https://lsco.scene7.com/is/image/lsco/000P60000-detail1-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",LEVI'S® VINTAGE CLOTHING MEN'S 1910S LOT 333 JEANS
